trial_num;recognized_words;from_trial;from_session;off-list;mem_from_trial[%];mem_trial_from_recog_words[%];mem_session_from_recog_words[%]
1;5;0;0;5;0.0;0.0;0.0
2;4;0;0;4;0.0;0.0;0.0
3;7;1;1;6;8.33;14.29;14.29
4;5;1;1;4;8.33;20.0;20.0
5;2;0;0;2;0.0;0.0;0.0
6;2;1;1;1;8.33;50.0;50.0
7;6;4;4;2;33.33;66.67;66.67
8;4;2;2;2;16.67;50.0;50.0
9;6;4;5;1;33.33;66.67;83.33
10;8;5;5;3;41.67;62.5;62.5
11;6;4;5;1;33.33;66.67;83.33
12;4;1;1;3;8.33;25.0;25.0
13;8;1;1;7;8.33;12.5;12.5
14;5;2;2;3;16.67;40.0;40.0
15;4;2;2;2;16.67;50.0;50.0
