sum_manual_preprocessing ,sum_model_preprocessing ,model_equal_manual_preprocessing ,model_diff_manual_preprocessing ,path
15,3,168,12,MC_001_FR1_20190130_190637
61,4,123,57,MC_001_FR2_20190131_152351
69,37,148,32,MC_003_FR1_20190322_201950
80,37,137,43,MC_003_FR2_20190323_200816
75,34,139,41,MC_004_FR1_20190330_172124
86,45,139,41,MC_004_FR2_20190331_181731
51,14,143,37,MC_005_FR1_20190413_185203
51,5,134,46,MC_005_FR2_20190414_204844
73,20,127,53,MC_005_FR3_20190416_204113
73,13,120,60,MC_005_FR4_20190420_201557
27,11,164,16,MC_006_FR1_20190428_200159
19,2,163,17,MC_007_FR1_20190510_203529
43,19,156,24,MC_009_FR1_20190605_223914
60,26,146,34,MC_009_FR2_20190606_221809
13,2,133,11,MC_010_FR1_20190625_182441
14,3,169,11,MC_011_FR1_20190829_205443
23,4,161,19,MC_011_FR2_20190830_193219
37,3,146,34,MC_012_FR1_20190911_222622
34,0,146,34,MC_012_FR2_20190912_202614
50,0,130,50,MC_012_FR3_20190914_204903
41,2,141,39,MC_012_FR4_20190917_211748
27,1,152,28,MC_016_FR1_20200220_231721
40,5,145,35,MC_017_FR1_20200302_203539
26,1,155,25,MC_017_FR2_20200303_201615
55,1,126,54,MC_018_FR1_20200614_225044
65,2,117,63,MC_019_FR1_20200701_214443
36,0,144,36,MC_020_FR1_20200810_221820
50,0,130,50,MC_020_FR2_20200811_221558
40,0,140,40,MC_020_FR3_20200813_221018
46,1,135,45,MC_022_FR1_20201009_211727
44,7,143,37,MC_023_FR1_20201019_210721
44,4,140,40,MC_023_FR2_20201020_210200
50,8,138,42,MC_023_FR3_20201022_205452
67,5,118,62,MC_024_FR1_20201124_220315
61,4,123,57,MC_024_FR2_20201125_225401
62,8,126,54,MC_025_FR1_20210312_220107
74,12,116,64,MC_025_FR2_20210313_215823
31,5,57,28,MC_025_FR3_20210315_224443
29,0,104,29,MC_026_FR1_20210415_214212
54,8,134,46,MC_027_FR1_20210422_214146
57,3,124,56,MC_027_FR2_20210423_214123
30,1,151,29,MC_028_FR1_20210514_213002
27,4,157,23,MC_029_FR1_20210622_224438
54,6,132,48,MC_030_FR1_20210805_205952
60,7,127,53,MC_030_FR2_20210806_212619
